date,1. open,2. high,3. low,4. close,5. volume,SMA,RSI,OBV,Real Upper Band,Real Middle Band,Real Lower Band,sentiment,relevance
1999-11-01,,,,,,,,278577878.0,,,,,
1999-11-02,,,,,,,,677813477.0,,,,,
1999-11-03,,,,,,,,1006276205.0,,,,,
1999-11-04,,,,,,,,1385362984.0,,,,,
1999-11-05,,,,,,,,1802171400.0,,,,,
1999-11-08,,,,,,,,2753097150.0,,,,,
1999-11-09,,,,,,,,1943918741.0,,,,,
1999-11-10,,,,,,,,2521816918.0,,,,,
1999-11-11,,,,,,,,2791692387.0,,,,,
1999-11-12,,,,,,,,2512632908.0,,,,,
1999-11-15,,,,,,,,2252725449.0,,,,,
1999-11-16,,,,,,,,2486581682.0,,,,,
1999-11-17,,,,,,,,2122010118.0,,,,,
1999-11-18,,,,,,0.6598,,1757225754.0,,,,,
1999-11-19,,,,,,0.6678,69.9838,2069739666.0,,,,,
1999-11-22,,,,,,0.6733,66.4703,1867377864.0,,,,,
1999-11-23,,,,,,0.6794,68.5184,2410690407.0,,,,,
1999-11-24,,,,,,0.6853,70.2012,2625797822.0,,,,,
1999-11-26,,,,,,0.6889,70.535,2757868354.0,,,,,
1999-11-29,,,,,,0.688,69.4036,2293706290.0,0.7464,0.6719,0.5974,,
1999-11-30,,,,,,0.6924,72.5435,3136887933.0,0.7464,0.6795,0.6126,,
1999-12-01,,,,,,0.6986,76.5988,3755453351.0,0.7566,0.688,0.6194,,
1999-12-02,,,,,,0.7082,80.7953,4322812318.0,0.7817,0.6988,0.6159,,
1999-12-03,,,,,,0.7213,83.0089,4970732965.0,0.8137,0.7106,0.6074,,
1999-12-06,,,,,,0.7355,83.4364,5437515831.0,0.8426,0.7209,0.5993,,
1999-12-07,,,,,,0.7498,84.2107,5882537076.0,0.8697,0.729,0.5882,,
1999-12-08,,,,,,0.7604,69.2776,5470186264.0,0.8808,0.7366,0.5925,,
1999-12-09,,,,,,0.7687,61.9366,4614987009.0,0.8857,0.7418,0.5979,,
1999-12-10,,,,,,0.7744,58.7979,3977224772.0,0.8884,0.7458,0.6033,,
1999-12-13,,,,,,0.7789,53.5979,3447262643.0,0.8883,0.749,0.6097,,
1999-12-14,,,,,,0.78,48.7991,3011391808.0,0.8868,0.751,0.6152,,
1999-12-15,,,,,,0.7812,51.2246,3634370030.0,0.886,0.7532,0.6204,,
1999-12-16,,,,,,0.783,52.7084,4098196093.0,0.8845,0.7562,0.6279,,
1999-12-17,,,,,,0.7859,54.6261,4593202988.0,0.8826,0.7601,0.6377,,
1999-12-20,,,,,,0.7859,51.9417,4309215505.0,0.8814,0.7622,0.643,,
1999-12-21,,,,,,0.7856,57.0553,4616812612.0,0.8796,0.7666,0.6537,,
1999-12-22,,,,,,0.7801,53.5636,4289738685.0,0.8779,0.7693,0.6607,,
1999-12-23,,,,,,0.774,57.4622,4519271714.0,0.8778,0.7726,0.6675,,
1999-12-27,,,,,,0.7651,51.9355,4350879546.0,0.8766,0.7742,0.6718,,
1999-12-28,,,,,,0.7545,50.5363,4103303299.0,0.8752,0.7756,0.676,,
1999-12-29,,,,,,0.7495,53.5448,4387805983.0,0.8749,0.7766,0.6784,,
1999-12-30,,,,,,0.7469,53.017,4180661776.0,0.8744,0.7756,0.6768,,
1999-12-31,,,,,,0.7468,56.0843,4344473139.0,0.8689,0.7728,0.6768,,
2000-01-03,,,,,,0.7537,65.0564,4880270474.0,0.8639,0.7717,0.6795,,
2000-01-04,,,,,,0.7578,52.9996,4367892362.0,0.8471,0.7666,0.6861,,
2000-01-05,,,,,,0.7615,54.4443,5146214740.0,0.8222,0.7615,0.7007,,
2000-01-06,,,,,,0.7598,45.4225,4378241173.0,0.8126,0.7558,0.699,,
